count_id;track_id;class;speed_kmh;accel_avg_mps2;vel_1_mps;vel_2_mps;vsp_kw_ton;vkt_km;tier1_co2_g;diff_co2_pct;e2_co2_g;e2_nox_g;e2_fuel_g;e2_hc_g;e2_co_g;e2_pm25_g;e5_co2_g;e5_nox_g;e5_fuel_g;e5_hc_g;e5_co_g;e5_pm25_g
1030;4591;SUV;64.9;-0.721;0.0;0.0;3.98;0.1;21.5;-47.1;11.38;0.0053;3.73;0.0042;0.0298;0.00024;10.24;0.0021;3.35;0.0021;0.0179;2,00E-05
1031;4592;SUV;63.4;0.067;0.0;0.0;4.91;0.1;21.5;-40.2;12.85;0.0073;4.21;0.0045;0.0322;7,00E-05;11.56;0.0029;3.79;0.0022;0.0193;1,00E-05
1032;4582;PC;41.5;-0.458;0.0;0.0;2.37;0.1;17.0;-34.2;11.19;0.0047;3.66;0.0043;0.03;0.00031;10.07;0.0019;3.3;0.0021;0.018;3,00E-05
1033;4624;SUV;69.1;0.487;0.0;0.0;19.99;0.1;21.5;80.5;38.81;0.0267;12.62;0.0146;0.0921;0.00107;34.93;0.0131;11.35;0.0079;0.0562;0.00011
1034;4631;PC;42.0;0.121;0.0;0.0;3.12;0.1;17.0;-33.2;11.36;0.006;3.72;0.0038;0.0278;7,00E-05;10.23;0.0024;3.35;0.0019;0.0167;1,00E-05
1035;4626;SUV;59.7;0.354;0.0;0.0;9.18;0.1;21.5;15.9;24.92;0.0145;8.16;0.0086;0.0619;7,00E-05;22.43;0.0058;7.34;0.0043;0.0371;1,00E-05
1036;4637;PC;38.6;0.002;0.0;0.0;1.76;0.1;17.0;-57.7;7.19;0.0035;2.35;0.0025;0.0181;0.0001;6.47;0.0014;2.12;0.0013;0.0109;1,00E-05
1037;4642;MBT;67.0;0.021;0.0;0.0;5.97;0.1;27.1;-52.3;12.92;0.0067;4.23;0.0044;0.0319;0.0001;11.63;0.0027;3.81;0.0022;0.0191;1,00E-05
1038;4619;HV;55.6;0.125;0.0;0.0;5.37;0.1;93.8;-85.8;13.34;0.0072;4.37;0.0044;0.0322;4,00E-05;12.01;0.0029;3.93;0.0022;0.0193;0.0
1039;4676;PC;37.9;-0.847;0.0;0.0;2.39;0.1;17.0;-21.2;13.4;0.0052;4.39;0.0053;0.0369;0.00046;12.06;0.0021;3.95;0.0026;0.0221;5,00E-05
1040;4687;PC;39.8;-0.397;0.0;0.0;0.91;0.1;17.0;-57.0;7.31;0.0023;2.39;0.0031;0.0213;0.00036;6.58;0.0009;2.16;0.0016;0.0128;4,00E-05
1041;4670;PC;53.5;0.19;0.0;0.0;5.44;0.1;17.0;-10.3;15.26;0.0082;5.0;0.005;0.0369;6,00E-05;13.73;0.0033;4.5;0.0025;0.0221;1,00E-05
1042;4677;HV;61.9;-0.432;0.0;0.0;2.28;0.1;93.8;-92.5;7.05;0.003;2.31;0.0027;0.0188;0.00018;6.34;0.0012;2.08;0.0013;0.0113;2,00E-05
1043;4678;PC;42.1;-0.646;0.0;0.0;2.19;0.1;17.0;-36.3;10.83;0.0042;3.55;0.0043;0.0299;0.00038;9.75;0.0017;3.19;0.0021;0.0179;4,00E-05
