frame,track_id,class,method,speed_kmh,accel_mps2,x_px,y_px
80,6,LCV,homography,80.88,0.079,850,1026
80,14,PC,homography,71.56,-1.092,1182,566
80,40,PC,homography,0.0,0.0,1336,527
81,5,MBT,homography,101.86,0.229,755,777
81,14,PC,homography,72.21,-1.0,1180,568
82,5,MBT,homography,101.46,0.204,751,780
82,14,PC,homography,71.67,-1.012,1180,568
83,5,MBT,homography,100.98,0.175,742,785
83,14,PC,homography,70.62,-1.064,1178,569
84,5,MBT,homography,100.7,0.158,730,793
84,14,PC,homography,70.34,-1.052,1176,571
85,5,MBT,homography,100.75,0.157,718,801
85,14,PC,homography,71.15,-0.957,1175,574
86,5,MBT,homography,101.17,0.175,705,810
86,14,PC,homography,72.26,-0.843,1172,576
87,5,MBT,homography,101.77,0.201,692,818
87,14,PC,homography,73.67,-0.713,1170,578
87,40,PC,homography,75.8,0.314,1325,536
88,5,MBT,homography,101.44,0.181,687,822
88,14,PC,homography,73.84,-0.68,1169,578
88,40,PC,homography,114.94,0.558,1325,536
89,5,MBT,homography,101.15,0.163,676,829
89,14,PC,homography,73.13,-0.711,1167,579
90,5,MBT,homography,101.08,0.157,662,838
90,14,PC,homography,72.91,-0.706,1165,581
90,40,PC,homography,119.88,0.826,1322,539
91,5,MBT,homography,101.27,0.163,648,848
91,14,PC,homography,73.25,-0.664,1163,583
92,5,MBT,homography,101.68,0.179,632,858
92,14,PC,homography,73.51,-0.628,1161,585
93,5,MBT,homography,102.22,0.202,615,868
93,14,PC,homography,74.34,-0.555,1158,587
94,5,MBT,homography,101.85,0.18,609,872
94,14,PC,homography,74.23,-0.547,1158,588
95,5,MBT,homography,101.58,0.164,596,882
95,14,PC,homography,73.99,-0.549,1156,590
96,5,MBT,homography,101.5,0.157,579,892
96,14,PC,homography,73.79,-0.547,1154,591
97,5,MBT,homography,101.78,0.167,561,905
97,14,PC,homography,73.71,-0.539,1152,593
98,5,MBT,homography,102.24,0.186,541,917
98,14,PC,homography,73.64,-0.53,1149,595
99,5,MBT,homography,102.86,0.212,521,931
99,14,PC,homography,73.64,-0.517,1146,597
100,5,MBT,homography,102.58,0.194,513,936
100,14,PC,homography,72.79,-0.555,1145,597
101,5,MBT,homography,102.18,0.172,498,946
101,14,PC,homography,72.48,-0.561,1144,600
102,5,MBT,homography,102.09,0.165,477,960
102,14,PC,homography,72.59,-0.541,1141,602
103,5,MBT,homography,102.27,0.17,455,975
103,14,PC,homography,73.34,-0.485,1138,605
104,5,MBT,homography,102.66,0.185,431,991
104,14,PC,homography,74.32,-0.417,1136,607
105,5,MBT,homography,103.31,0.211,405,1009
105,14,PC,homography,75.1,-0.363,1134,609
106,5,MBT,homography,103.1,0.198,396,1015
106,14,PC,homography,74.89,-0.367,1133,610
106,33,PC,homography,0.0,0.0,1240,513
107,14,PC,homography,74.7,-0.369,1131,612
107,33,PC,homography,13.19,0.055,1239,515
107,40,PC,homography,119.88,1.05,1299,561
108,14,PC,homography,74.66,-0.363,1128,614
108,33,PC,homography,42.26,0.236,1238,516
108,40,PC,homography,119.88,1.05,1297,562
109,14,PC,homography,74.78,-0.349,1125,617
109,33,PC,homography,66.82,0.458,1236,517
109,40,PC,homography,119.88,1.05,1295,564
110,14,PC,homography,74.81,-0.339,1121,619
110,33,PC,homography,80.4,0.635,1235,519
110,40,PC,homography,119.88,1.05,1293,566
111,14,PC,homography,75.06,-0.319,1118,621
111,33,PC,homography,88.29,0.785,1233,520
111,40,PC,homography,119.88,1.05,1291,567
112,14,PC,homography,74.56,-0.338,1117,622
112,33,PC,homography,86.51,0.725,1233,520
112,40,PC,homography,119.88,-1.5,1291,568
112,48,PC,homography,0.0,0.0,1306,527
113,14,PC,homography,74.3,-0.345,1115,624
113,33,PC,homography,87.3,0.745,1232,522
113,40,PC,homography,119.88,-1.5,1289,569
113,48,PC,homography,5.09,0.021,1305,527
114,14,PC,homography,74.35,-0.335,1112,627
114,33,PC,homography,89.82,0.871,1230,523
114,40,PC,homography,119.88,-1.5,1287,570
114,48,PC,homography,11.86,0.063,1305,528
115,14,PC,homography,74.63,-0.314,1108,630
115,33,PC,homography,92.9,1.05,1229,524
115,40,PC,homography,119.88,-1.5,1286,572
115,48,PC,homography,41.35,0.33,1303,530
116,14,PC,homography,75.16,-0.28,1105,633
116,33,PC,homography,97.83,1.05,1227,526
116,40,PC,homography,119.88,-1.5,1284,574
116,48,PC,homography,64.21,0.632,1302,531
117,14,PC,homography,76.08,-0.227,1102,636
117,33,PC,homography,101.22,1.05,1226,528
117,40,PC,homography,119.88,-1.5,1282,576
117,48,PC,homography,76.44,0.866,1301,533
118,14,PC,homography,76.25,-0.214,1100,637
118,33,PC,homography,100.2,1.05,1225,528
118,40,PC,homography,121.32,-1.5,1281,576
118,48,PC,homography,77.1,0.875,1301,533
118,49,LCV,homography,0.0,0.0,1226,528
119,14,PC,homography,76.36,-0.204,1098,640
119,33,LCV,homography,100.94,1.05,1224,530
119,40,PC,homography,101.6,-1.5,1280,578
119,48,PC,homography,77.76,0.888,1301,534
120,14,PC,homography,76.54,-0.191,1095,642
120,33,LCV,homography,101.31,1.05,1223,531
120,40,PC,homography,85.16,-1.5,1279,580
120,48,PC,homography,79.06,0.941,1300,535
121,14,PC,homography,76.81,-0.174,1092,645
121,40,PC,homography,72.0,-1.5,1277,582
121,48,PC,homography,79.62,0.955,1299,537
122,14,PC,homography,77.42,-0.14,1088,649
122,40,PC,homography,61.0,-1.5,1274,584
122,48,PC,homography,82.2,1.05,1298,538
122,33,PC,homography,107.98,1.05,1220,534
123,14,PC,homography,78.15,-0.102,1085,652
123,40,PC,homography,52.58,-1.5,1272,586
123,48,PC,homography,83.61,1.05,1297,539
123,33,PC,homography,114.46,1.05,1218,536
124,14,PC,homography,78.1,-0.102,1083,653
124,40,PC,homography,43.28,-1.5,1271,587
124,48,PC,homography,81.7,0.953,1296,540
124,33,PC,homography,116.08,1.05,1218,537
125,14,PC,homography,77.73,-0.118,1080,655
125,40,PC,homography,36.01,-1.5,1269,589
125,48,PC,homography,80.08,0.665,1296,541
125,33,PC,homography,116.42,1.05,1217,538
126,14,PC,homography,77.38,-0.133,1076,657
126,40,PC,homography,30.1,-1.5,1267,591
126,48,PC,homography,77.82,0.273,1295,542
126,33,PC,homography,116.2,1.05,1215,540
127,14,PC,homography,77.51,-0.124,1072,661
127,40,PC,homography,26.14,-1.5,1266,593
127,48,PC,homography,77.17,0.15,1294,543
127,33,PC,homography,115.97,1.05,1214,541
128,14,PC,homography,77.85,-0.105,1069,665
128,40,PC,homography,23.87,-1.5,1264,595
128,48,PC,homography,76.2,-0.023,1294,544
128,33,PC,homography,114.4,1.05,1212,543
129,14,PC,homography,78.23,-0.085,1065,668
129,40,PC,homography,22.88,-1.5,1262,597
129,48,PC,homography,76.23,-0.015,1293,546
129,33,PC,homography,112.99,1.05,1211,544
130,14,PC,homography,77.86,-0.101,1063,669
130,40,PC,homography,20.35,-1.5,1261,598
130,48,PC,homography,74.06,-0.379,1293,546
130,33,PC,homography,108.67,1.05,1211,545
131,14,PC,homography,77.54,-0.114,1060,672
131,40,PC,homography,17.6,-1.5,1260,599
131,48,PC,homography,70.68,-0.916,1292,547
131,33,PC,homography,104.93,0.613,1209,546
132,14,PC,homography,77.55,-0.112,1057,675
132,40,PC,homography,15.15,-1.5,1257,600
132,48,PC,homography,69.54,-1.043,1291,548
132,33,PC,homography,102.19,0.183,1207,548
133,14,PC,homography,77.72,-0.102,1053,679
133,40,PC,homography,15.4,-1.5,1255,603
133,48,PC,homography,70.07,-0.89,1290,550
133,33,PC,homography,98.96,-0.277,1206,549
134,14,PC,homography,78.27,-0.074,1048,683
134,40,PC,homography,17.54,-1.5,1253,606
134,48,PC,homography,71.02,-0.688,1289,551
134,33,PC,homography,98.3,-0.352,1204,551
135,14,PC,homography,78.84,-0.046,1043,687
135,40,PC,homography,19.54,-1.5,1250,608
135,48,PC,homography,71.37,-0.591,1288,552
135,33,PC,homography,97.16,-0.483,1202,552
136,14,PC,homography,78.66,-0.054,1042,688
136,40,PC,homography,19.58,-1.5,1249,609
136,48,PC,homography,69.35,-0.855,1288,553
136,33,PC,homography,93.63,-0.908,1202,553
137,14,PC,homography,78.23,-0.073,1039,691
137,40,PC,homography,19.85,-1.5,1247,611
137,48,PC,homography,67.51,-1.07,1287,554
138,14,PC,homography,77.74,-0.094,1035,693
138,40,PC,homography,21.14,-1.5,1245,614
138,48,PC,homography,67.59,-1.0,1286,556
138,33,MBT,homography,96.1,-0.558,1198,557
139,14,PC,homography,77.66,-0.096,1030,698
139,40,PC,homography,22.91,-1.5,1243,616
139,48,PC,homography,67.98,-0.893,1285,557
139,33,PC,homography,97.27,-0.39,1197,558
140,14,PC,homography,77.65,-0.095,1025,701
140,40,PC,homography,25.02,-1.5,1240,619
140,48,PC,homography,69.08,-0.702,1284,559
140,33,LCV,homography,99.0,-0.171,1195,560
141,14,PC,homography,77.71,-0.09,1020,705
141,40,PC,homography,27.32,-1.5,1238,621
141,48,PC,homography,69.9,-0.561,1283,560
141,33,LCV,homography,100.47,0.005,1194,562
142,14,PC,homography,77.13,-0.115,1018,706
142,40,PC,homography,27.96,-1.5,1237,622
142,48,PC,homography,68.71,-0.68,1283,560
142,33,LCV,homography,99.43,-0.11,1193,563
143,14,PC,homography,76.62,-0.136,1014,710
143,40,PC,homography,28.03,-1.5,1235,624
143,48,PC,homography,67.18,-0.832,1282,561
143,33,PC,homography,97.74,-0.288,1192,564
144,14,PC,homography,76.18,-0.154,1010,713
144,40,PC,homography,28.51,-1.5,1233,626
144,48,PC,homography,66.53,-0.869,1281,563
144,33,MBT,homography,97.76,-0.273,1191,567
145,14,PC,homography,76.01,-0.159,1004,717
145,40,PC,homography,29.42,-1.5,1230,629
145,48,PC,homography,66.93,-0.784,1280,564
145,33,MBT,homography,98.45,-0.192,1189,569
146,14,PC,homography,76.31,-0.142,999,723
146,40,PC,homography,30.54,-1.5,1228,631
146,48,PC,homography,67.15,-0.725,1279,566
146,33,LCV,homography,98.9,-0.139,1187,571
147,14,PC,homography,76.75,-0.12,993,727
