count_id,track_id,class,speed_kmh,accel_avg_mps2,vel_1_mps,vel_2_mps,vsp_kw_ton,vkt_km,tier1_co2_g,diff_co2_pct,e2_co2_g,e2_nox_g,e2_fuel_g,e2_hc_g,e2_co_g,e2_pm25_g,e5_co2_g,e5_nox_g,e5_fuel_g,e5_hc_g,e5_co_g,e5_pm25_g
1,6,PC,80.9,0.429,0.0,0.0,16.55,0.1,17.0,62.3,27.6,0.0152,9.03,0.0091,0.0661,0.0001,24.84,0.0062,8.13,0.0046,0.0397,1e-05
2,5,MBT,103.1,0.496,0.0,0.0,24.86,0.1,27.1,21.2,32.85,0.0179,10.76,0.0108,0.0789,7e-05,29.56,0.0072,9.68,0.0054,0.0473,1e-05
3,14,PC,79.5,-0.114,0.0,0.0,6.64,0.1,17.0,-27.9,12.25,0.0064,4.01,0.0042,0.0304,0.0001,11.03,0.0026,3.61,0.0021,0.0182,1e-05
4,64,PC,65.2,0.269,0.0,0.0,6.83,0.1,17.0,61.3,27.42,0.0154,8.98,0.0095,0.0685,0.00015,24.68,0.0062,8.08,0.0047,0.0411,1e-05
5,40,PC,70.0,-1.204,0.0,0.0,3.04,0.1,17.0,-39.2,10.33,0.0043,3.38,0.004,0.0279,0.00031,9.3,0.0017,3.04,0.002,0.0167,3e-05
6,33,LCV,88.4,0.235,0.0,0.0,21.29,0.1,26.8,16.7,31.28,0.0295,9.98,0.014,0.0639,0.00274,28.15,0.0186,8.99,0.0088,0.0411,0.00027
7,48,PC,72.1,-0.104,0.0,0.0,4.59,0.1,17.0,-46.0,9.18,0.0047,3.0,0.0031,0.0227,8e-05,8.26,0.0019,2.7,0.0016,0.0136,1e-05
8,77,LCV,67.2,-0.71,0.0,0.0,3.37,0.1,26.8,-59.8,10.76,0.0053,3.5,0.0041,0.0291,0.00024,9.69,0.0022,3.15,0.0022,0.018,2e-05
9,75,PC,72.5,0.164,0.0,0.0,8.84,0.1,17.0,-6.6,15.88,0.0087,5.2,0.0052,0.0382,4e-05,14.3,0.0035,4.68,0.0026,0.0229,0.0
10,70,PC,69.2,-0.31,0.0,0.0,3.85,0.1,17.0,-48.8,8.7,0.0042,2.85,0.0031,0.0221,0.00013,7.83,0.0017,2.56,0.0015,0.0133,1e-05
11,76,PC,69.3,-0.216,0.0,0.0,11.99,0.1,17.0,27.6,21.69,0.0111,7.1,0.0074,0.0537,0.00019,19.52,0.0045,6.39,0.0037,0.0322,2e-05
12,94,PC,52.9,-1.119,0.0,0.0,5.19,0.1,17.0,-14.9,14.47,0.0067,4.74,0.0053,0.0375,0.00029,13.03,0.0027,4.27,0.0026,0.0225,3e-05
13,97,PC,68.7,-0.008,0.0,0.0,6.59,0.1,17.0,-15.7,14.34,0.0074,4.69,0.0049,0.0353,0.00011,12.9,0.003,4.23,0.0024,0.0212,1e-05
14,110,PC,61.5,-0.29,0.0,0.0,3.93,0.1,17.0,-36.7,10.77,0.0052,3.53,0.0038,0.0275,0.00017,9.69,0.0021,3.17,0.0019,0.0165,2e-05
15,93,PC,74.7,-0.203,0.0,0.0,6.29,0.1,17.0,-22.7,13.14,0.0089,4.26,0.0051,0.0306,0.00059,11.83,0.0047,3.83,0.0029,0.0188,6e-05
16,108,PC,79.8,-0.154,0.0,0.0,7.42,0.1,17.0,-20.5,13.52,0.007,4.43,0.0046,0.0334,0.00012,12.17,0.0028,3.98,0.0023,0.0201,1e-05
17,137,PC,82.3,0.171,0.0,0.0,11.49,0.1,17.0,4.6,17.78,0.0097,5.82,0.0058,0.0427,4e-05,16.0,0.0039,5.24,0.0029,0.0256,0.0
18,141,SUV,81.9,0.039,0.0,0.0,11.03,0.1,21.5,-8.4,19.68,0.0111,6.45,0.0068,0.0493,0.00011,17.72,0.0044,5.8,0.0034,0.0296,1e-05
