count_id,track_id,class,speed_kmh,accel_avg_mps2,vel_1_mps,vel_2_mps,vsp_kw_ton,vkt_km,tier1_co2_g,diff_co2_pct,e2_co2_g,e2_nox_g,e2_fuel_g,e2_hc_g,e2_co_g,e2_pm25_g,e5_co2_g,e5_nox_g,e5_fuel_g,e5_hc_g,e5_co_g,e5_pm25_g
5693,33076,LCV,14.7,-0.318,0.0,0.0,0.69,0.10297,27.6,-32.6,18.6,0.0067,5.88,0.0081,0.0526,0.00117,16.74,0.0038,5.3,0.0053,0.0354,0.00012
5694,33067,SUV,7.2,-0.087,0.0,0.0,0.29,0.10297,22.14,-36.6,14.03,0.0036,4.59,0.0065,0.0438,0.00092,12.62,0.0014,4.13,0.0032,0.0263,9e-05
5695,33023,PC,20.1,0.039,0.0,0.0,0.56,0.10297,17.5,29.1,22.6,0.007,7.4,0.0097,0.0665,0.00117,20.34,0.0028,6.66,0.0049,0.0399,0.00012
5696,33057,SUV,11.3,-0.067,0.0,0.0,0.49,0.10297,22.14,-42.1,12.82,0.0048,4.2,0.0055,0.0377,0.00058,11.54,0.0019,3.78,0.0028,0.0226,6e-05
5697,33183,LCV,116.7,0.529,0.0,0.0,31.11,0.10297,27.6,117.5,60.02,0.0796,18.7,0.0334,0.1008,0.00998,54.02,0.0573,16.83,0.0233,0.0706,0.001
5698,33061,PC,12.6,0.048,0.0,0.0,0.61,0.10297,17.5,-1.9,17.17,0.0059,5.62,0.0071,0.0491,0.00076,15.45,0.0024,5.06,0.0036,0.0295,8e-05
5699,33063,PC,12.2,-0.041,0.0,0.0,0.39,0.10297,17.5,-10.5,15.66,0.0035,5.13,0.0073,0.0491,0.00109,14.1,0.0014,4.62,0.0036,0.0295,0.00011
5700,33064,PC,14.2,-0.054,0.0,0.0,0.51,0.10297,17.5,16.0,20.3,0.0058,6.65,0.0089,0.0608,0.00115,18.27,0.0023,5.98,0.0045,0.0365,0.00011
5701,33084,PC,11.6,-0.171,0.0,0.0,0.31,0.10297,17.5,-18.0,14.35,0.0033,4.7,0.0067,0.0449,0.00099,12.92,0.0013,4.23,0.0033,0.027,0.0001
5702,33164,PC,21.3,-0.081,0.0,0.0,2.28,0.10297,17.5,-18.8,14.22,0.0063,4.65,0.0053,0.0375,0.00034,12.79,0.0025,4.19,0.0026,0.0225,3e-05
5703,33137,PC,11.5,-0.038,0.0,0.0,0.4,0.10297,17.5,-39.7,10.55,0.0028,3.45,0.0047,0.032,0.00063,9.5,0.0011,3.11,0.0024,0.0192,6e-05
5704,33210,PC,19.7,-0.722,0.0,0.0,2.04,0.10297,17.5,2.6,17.96,0.0075,5.88,0.0072,0.0499,0.0006,16.16,0.003,5.29,0.0036,0.0299,6e-05
5705,33201,PC,15.3,-0.049,0.0,0.0,0.81,0.10297,17.5,-32.5,11.81,0.0045,3.87,0.0047,0.0328,0.00043,10.63,0.0018,3.48,0.0023,0.0197,4e-05
5706,33217,SUV,32.5,0.175,0.0,0.0,2.56,0.10297,22.14,-21.7,17.34,0.0106,5.68,0.0062,0.0444,6e-05,15.61,0.0042,5.11,0.0031,0.0267,1e-05
5707,33232,PC,8.4,0.086,0.0,0.0,0.85,0.10297,17.5,-27.2,12.75,0.0054,4.17,0.0048,0.0342,0.00036,11.47,0.0022,3.76,0.0024,0.0205,4e-05
5708,33223,PC,14.1,-0.057,0.0,0.0,0.46,0.10297,17.5,-31.2,12.04,0.0033,3.94,0.0054,0.0365,0.00072,10.83,0.0013,3.55,0.0027,0.0219,7e-05
5709,33218,PC,2.0,0.039,0.0,0.0,0.7,0.10297,17.5,-19.1,14.17,0.0054,4.64,0.0056,0.0394,0.00052,12.75,0.0022,4.18,0.0028,0.0236,5e-05
5710,33272,PC,3.0,0.288,0.0,0.0,3.97,0.10297,17.5,141.7,42.31,0.0209,13.85,0.0148,0.1066,0.00055,38.08,0.0084,12.47,0.0074,0.064,6e-05
5711,33225,PC,14.2,0.077,0.0,0.0,0.99,0.10297,17.5,-40.0,10.51,0.0047,3.44,0.0039,0.0275,0.00023,9.46,0.0019,3.1,0.0019,0.0165,2e-05
5712,33252,PC,1.9,-0.464,0.0,0.0,4.04,0.10297,17.5,111.4,37.01,0.0166,12.12,0.0136,0.097,0.00082,33.31,0.0067,10.91,0.0068,0.0582,8e-05
5713,33051,MBT,5.2,0.033,0.0,0.0,0.73,0.10297,27.9,-37.5,17.45,0.0059,5.71,0.0073,0.0502,0.00079,15.71,0.0024,5.14,0.0036,0.0301,8e-05
5714,33270,PC,13.3,-0.329,0.0,0.0,0.97,0.10297,17.5,18.7,20.79,0.008,6.77,0.0093,0.0597,0.00139,18.71,0.004,6.1,0.0049,0.0362,0.00014
5715,33190,MBT,14.3,-0.026,0.0,0.0,0.86,0.10297,27.9,-60.3,11.07,0.0046,3.63,0.0042,0.0298,0.00032,9.96,0.0019,3.26,0.0021,0.0179,3e-05
5716,33306,PC,12.1,-0.335,0.0,0.0,0.62,0.10297,17.5,7.8,18.87,0.005,6.17,0.0084,0.0573,0.00114,16.98,0.002,5.56,0.0042,0.0345,0.00011
5717,33096,MBT,11.9,-0.122,0.0,0.0,0.51,0.10297,27.9,-55.1,12.54,0.0037,4.11,0.0054,0.0372,0.00068,11.29,0.0015,3.7,0.0027,0.0223,7e-05
5718,33250,HV,11.0,-0.329,0.0,0.0,1.03,0.10297,96.59,-76.2,22.96,0.0071,7.52,0.0099,0.0676,0.00119,20.66,0.0028,6.76,0.0049,0.0406,0.00012
5719,33122,SUV,4.2,0.001,0.0,0.0,0.39,0.10297,22.14,-26.6,16.24,0.0044,5.32,0.0073,0.0495,0.00098,14.62,0.0018,4.79,0.0036,0.0297,0.0001
5720,33319,SUV,14.9,-0.309,0.0,0.0,2.6,0.10297,22.14,-9.8,19.96,0.0088,6.53,0.0076,0.0538,0.00053,17.96,0.0035,5.88,0.0038,0.0323,5e-05
5721,33346,SUV,19.6,-0.134,0.0,0.0,1.44,0.10297,22.14,-30.4,15.41,0.006,5.05,0.0062,0.043,0.00056,13.87,0.0024,4.54,0.0031,0.0258,6e-05
5722,33189,SUV,0.7,0.018,0.0,0.0,0.31,0.10297,22.14,74.5,38.64,0.0102,12.64,0.0178,0.1202,0.00247,34.78,0.0041,11.38,0.009,0.0723,0.00025
5723,33299,PC,10.8,-0.089,0.0,0.0,0.41,0.10297,17.5,-30.2,12.22,0.0032,4.0,0.0055,0.0374,0.00076,11.0,0.0013,3.6,0.0028,0.0224,8e-05
5724,33213,LCV,6.8,-0.01,0.0,0.0,0.44,0.10297,27.6,-7.3,25.59,0.0085,8.25,0.0114,0.0754,0.00159,23.03,0.0042,7.42,0.0065,0.0476,0.00016
5725,33355,PC,22.0,-0.337,0.0,0.0,3.45,0.10297,17.5,31.2,22.96,0.0102,7.52,0.0085,0.0604,0.00053,20.67,0.0041,6.77,0.0043,0.0362,5e-05
5726,33234,LCV,9.5,0.02,0.0,0.0,0.56,0.10297,27.6,128.8,63.15,0.0341,19.68,0.0313,0.1671,0.00675,56.84,0.0245,17.71,0.0219,0.1169,0.00067
5727,33372,PC,10.5,-0.012,0.0,0.0,0.44,0.10297,17.5,-12.2,15.36,0.0043,5.03,0.007,0.0473,0.00094,13.82,0.0017,4.53,0.0035,0.0284,9e-05
5728,33422,PC,19.3,-0.116,0.0,0.0,0.51,0.10297,17.5,-49.1,8.9,0.0023,2.92,0.004,0.0273,0.00056,8.01,0.0009,2.62,0.002,0.0164,6e-05
5729,33338,PC,11.0,-0.218,0.0,0.0,0.82,0.10297,17.5,21.9,21.34,0.0064,6.99,0.0092,0.0632,0.00114,19.2,0.0026,6.29,0.0046,0.0379,0.00011
5730,33345,PC,6.0,-0.044,0.0,0.0,0.22,0.10297,17.5,80.0,31.51,0.0064,10.32,0.015,0.1006,0.00233,28.36,0.0026,9.29,0.0075,0.0604,0.00023
5731,33403,PC,10.8,0.109,0.0,0.0,0.4,0.10297,17.5,89.2,33.12,0.0084,10.84,0.015,0.1017,0.00209,29.81,0.0034,9.76,0.0075,0.061,0.00021
5732,33389,PC,11.9,-0.176,0.0,0.0,0.48,0.10297,17.5,-17.8,14.38,0.0042,4.71,0.0063,0.0428,0.00079,12.94,0.0017,4.24,0.0031,0.0257,8e-05
