count_id;track_id;class;speed_kmh;accel_avg_mps2;vel_1_mps;vel_2_mps;vsp_kw_ton;vkt_km;tier1_co2_g;diff_co2_pct;e2_co2_g;e2_nox_g;e2_fuel_g;e2_hc_g;e2_co_g;e2_pm25_g;e5_co2_g;e5_nox_g;e5_fuel_g;e5_hc_g;e5_co_g;e5_pm25_g
3992;24484;MBT;87.2;-0.021;0.0;0.0;9.53;0.07531;20.41;-42.5;11.74;0.0063;3.84;0.0039;0.0285;8,00E-05;10.57;0.0026;3.46;0.002;0.0171;1,00E-05
3993;24479;PC;74.0;-0.12;0.0;0.0;5.44;0.07531;12.8;-29.6;9.02;0.0046;2.95;0.0031;0.0224;9,00E-05;8.11;0.0018;2.66;0.0016;0.0135;1,00E-05
3994;24482;MBT;64.3;-0.476;0.0;0.0;3.47;0.07531;20.41;-65.6;7.01;0.004;2.28;0.0027;0.0175;0.00027;6.31;0.002;2.05;0.0015;0.0106;3,00E-05
3995;24495;PC;58.9;-0.222;0.0;0.0;3.28;0.07531;12.8;-46.8;6.81;0.0031;2.23;0.0025;0.0177;0.00013;6.13;0.0013;2.01;0.0012;0.0106;1,00E-05
3996;24520;PC;91.5;-0.496;0.0;0.0;5.49;0.07531;12.8;-45.7;6.96;0.0034;2.28;0.0024;0.0175;9,00E-05;6.26;0.0014;2.05;0.0012;0.0105;1,00E-05
3997;24528;PC;54.0;-0.995;0.0;0.0;2.18;0.07531;12.8;-49.6;6.45;0.0025;2.11;0.0026;0.0179;0.00023;5.8;0.001;1.9;0.0013;0.0107;2,00E-05
3998;24505;LCV;74.7;0.023;0.0;0.0;6.35;0.07531;20.18;-55.0;9.09;0.0067;2.94;0.0035;0.0204;0.0004;8.18;0.0036;2.65;0.002;0.0126;4,00E-05
3999;24504;PC;59.0;-0.133;0.0;0.0;3.13;0.07531;12.8;-51.7;6.18;0.0029;2.03;0.0022;0.0159;0.00011;5.57;0.0012;1.82;0.0011;0.0096;1,00E-05
4000;24507;PC;72.3;-0.03;0.0;0.0;6.54;0.07531;12.8;-24.4;9.67;0.005;3.17;0.0033;0.0238;7,00E-05;8.71;0.002;2.85;0.0016;0.0143;1,00E-05
4001;24550;PC;100.4;-0.473;0.0;0.0;7.19;0.07531;12.8;-37.2;8.04;0.0041;2.63;0.0028;0.02;8,00E-05;7.24;0.0016;2.37;0.0014;0.012;1,00E-05
4002;24592;LCV;116.0;0.443;0.0;0.0;23.91;0.07531;20.18;74.3;35.18;0.0424;11.04;0.0183;0.0631;0.00497;31.66;0.0296;9.94;0.0125;0.0429;0.0005
4003;24552;MBT;106.1;0.05;0.0;0.0;14.37;0.07531;20.41;-27.1;14.88;0.0101;4.83;0.0056;0.0341;0.00052;13.39;0.0052;4.34;0.0031;0.021;5,00E-05
4004;24547;PC;82.3;-0.124;0.0;0.0;6.23;0.07531;12.8;-38.3;7.9;0.0041;2.59;0.0027;0.0195;7,00E-05;7.11;0.0016;2.33;0.0013;0.0117;1,00E-05
4005;24543;PC;69.4;-0.285;0.0;0.0;4.85;0.07531;12.8;-38.5;7.88;0.0039;2.58;0.0028;0.02;0.00011;7.09;0.0015;2.32;0.0014;0.012;1,00E-05
4006;24575;PC;92.9;0.063;0.0;0.0;10.37;0.07531;12.8;-12.5;11.21;0.0061;3.67;0.0037;0.027;3,00E-05;10.08;0.0024;3.3;0.0018;0.0162;0.0
4007;24562;PC;70.1;0.05;0.0;0.0;6.52;0.07531;12.8;-22.7;9.89;0.0052;3.24;0.0033;0.0242;6,00E-05;8.9;0.0021;2.92;0.0017;0.0145;1,00E-05
